"Total Time, S","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step Time, S","Current, A","Voltage, V","Power, W","Instantaneous Amps, A","Instantaneous Volts, V","Instantaneous Watts, W","Amp-Hours, AH","Watt-Hours, WH","Amp Hours Charge, AH","Amp Hours Discharge, AH","Watt Hours Charge, WH","Watt Hours Discharge, WH","User Variable #1","User Variable #2","User Variable #3","User Variable #4","User Variable #5","User Variable #6","User Variable #7","User Variable #8","Temperature A1, degC","Unassigned A1","Unassigned A2","Unassigned A3","Unassigned A4","Unassigned A5","Unassigned A6","Unassigned A7","Unassigned A8","Unassigned A9","Mode","Real Time","Data Acquisition Flag",
10.000,1,1,1,1,1,10.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:25:30, ,
20.000,1,1,1,1,1,20.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:25:40, ,
30.000,1,1,1,1,1,30.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:25:50, ,
40.000,1,1,1,1,1,40.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:26:00, ,
50.000,1,1,1,1,1,50.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:26:10, ,
60.000,1,1,1,1,1,60.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:26:20, ,
70.000,1,1,1,1,1,70.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:26:30, ,
80.000,1,1,1,1,1,80.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:26:40, ,
90.000,1,1,1,1,1,90.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:26:50, ,
100.000,1,1,1,1,1,100.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:27:00, ,
110.000,1,1,1,1,1,110.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:27:10, ,
120.000,1,1,1,1,1,120.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:27:20, ,
130.000,1,1,1,1,1,130.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:27:30, ,
140.000,1,1,1,1,1,140.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:27:40, ,
150.000,1,1,1,1,1,150.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:27:50, ,
160.000,1,1,1,1,1,160.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:28:00, ,
170.000,1,1,1,1,1,170.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:28:10, ,
180.000,1,1,1,1,1,180.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:28:20, ,
190.000,1,1,1,1,1,190.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:28:30, ,
200.000,1,1,1,1,1,200.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:28:40, ,
210.000,1,1,1,1,1,210.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:28:50, ,
220.000,1,1,1,1,1,220.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:29:00, ,
230.000,1,1,1,1,1,230.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:29:10, ,
240.000,1,1,1,1,1,240.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:29:20, ,
250.000,1,1,1,1,1,250.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:29:30, ,
260.000,1,1,1,1,1,260.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:29:40, ,
270.000,1,1,1,1,1,270.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:29:50, ,
280.000,1,1,1,1,1,280.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:30:00, ,
290.000,1,1,1,1,1,290.000,0,3.288,0,0,3.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:30:10, ,
300.000,1,1,1,1,1,300.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:30:20, ,
310.000,1,1,1,1,1,310.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:30:30, ,
320.000,1,1,1,1,1,320.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:30:40, ,
330.000,1,1,1,1,1,330.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:30:50, ,
340.000,1,1,1,1,1,340.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:31:00, ,
350.000,1,1,1,1,1,350.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:31:10, ,
360.000,1,1,1,1,1,360.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:31:20, ,
370.000,1,1,1,1,1,370.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:31:30, ,
380.000,1,1,1,1,1,380.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:31:40, ,
390.000,1,1,1,1,1,390.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:31:50, ,
400.000,1,1,1,1,1,400.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:32:00, ,
410.000,1,1,1,1,1,410.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:32:10, ,
420.000,1,1,1,1,1,420.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:32:20, ,
430.000,1,1,1,1,1,430.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:32:30, ,
440.000,1,1,1,1,1,440.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:32:40, ,
450.000,1,1,1,1,1,450.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:32:50, ,
460.000,1,1,1,1,1,460.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:33:00, ,
470.000,1,1,1,1,1,470.000,0,3.288,0,0,3.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,REST,20/12/2021 14:33:10, ,
